league,city,player_name,weekly_wage,yearly_salary,age,position,nationality
league-one,Derby County,Reece Nicholas-Davies,180,9360,17,AM RL,England
league-one,Derby County,Cameron Ashia,180,9360,16,"DM, AM C",England
league-one,Derby County,Adebayo Fapetu,180,9360,17,DM,England
league-one,Derby County,Nelson Aideyan,180,9360,17,D C,England
league-one,Derby County,Sam Sebagabo,180,9360,17,"DM, AM C",Holland
league-one,Derby County,Callum Moore,180,9360,17,WB/AM R,England
league-one,Derby County,Keilen Robinson,180,9360,16,D LC,England
league-one,Derby County,Daniel Cox,180,9360,16,D C,Wales
league-one,Derby County,Lennon Wheeldon,180,9360,16,ST,England
league-one,Derby County,Billy Gough,180,9360,16,D/WB L,England
league-one,Derby County,Jack Perry,180,9360,16,D/WB R,England
league-one,Derby County,Farren Simons,180,9360,16,AM C,England
league-one,Derby County,Zion Dixon,180,9360,17,"AM RLC, F C",England
league-one,Derby County,Dajaune Brown,180,9360,16,AM/F C,England
league-one,Derby County,Josh Shattell,180,9360,16,GK,England
league-one,Derby County,Riley Moloney,140,7280,17,D/WB L,England
league-one,Exeter City,Rekeem Harper,5700,296400,22,AM C,England
league-one,Exeter City,Admiral Muskwe,4900,254800,24,CF,Zimbabwe
league-one,Exeter City,Sam Nombe,2600,135200,23,ST,England
league-one,Exeter City,Jay Stansfield,2100,109200,19,"AM R, ST",England
league-one,Exeter City,Kyle Taylor,2000,104000,22,AM C,England
league-one,Exeter City,Zak Jules,2000,104000,25,D C,Scotland
league-one,Exeter City,Matt Jay,1900,98800,26,AM/F C,England
league-one,Exeter City,Sam Stubbs,1600,83200,23,D C,England
league-one,Exeter City,Timothée Dieng,1600,83200,30,"D C, DM",France
league-one,Exeter City,Alex Hartridge,1500,78000,23,D LC,England
league-one,Exeter City,Harry Smith,1200,62400,27,ST,England
league-one,Exeter City,Jonathan Grounds,1100,57200,34,D LC,England
league-one,Exeter City,Kegs Chauke,1000,52000,19,DM,England
league-one,Exeter City,Cheick Diabate,980,50960,21,D C,England
league-one,Exeter City,Harry Kite,830,43160,22,M C,England
league-one,Exeter City,Pierce Sweeney,800,41600,27,D RC,Ireland
league-one,Exeter City,Scott Brown,600,31200,37,GK,England
league-one,Exeter City,Joe Wragg,310,16120,19,AM R,England
league-one,Exeter City,Sonny Cox,240,12480,17,ST,England
league-one,Exeter City,Harrison King,180,9360,16,D/WB R,England
league-one,Exeter City,Pedro Borges,180,9360,16,M C,Portugal
league-one,Exeter City,Gabriel Billington,180,9360,17,"D C, M C",England
league-one,Exeter City,Alfie Cunningham,180,9360,16,AM R,Wales
league-one,Exeter City,Ed James,180,9360,17,D RC,Wales
league-one,Exeter City,Mitch Beardmore,180,9360,17,AM C,England
league-one,Exeter City,Alfie Clark,180,9360,17,AM RL,England
league-one,Exeter City,Tom Dean,180,9360,16,M C,England
league-one,Exeter City,Max Edgecombe,180,9360,16,D L,England
league-one,Exeter City,Sam Joce,180,9360,16,D C,England
league-one,Exeter City,Andrew Sowden,180,9360,17,GK,England
league-one,Exeter City,George Spencer,180,9360,17,ST,England
league-one,Fleetwood Town,Jakub Stolarczyk,10000,520000,21,GK,Poland
league-one,Fleetwood Town,Danny Mayor,5400,280800,31,AM LC,England
league-one,Fleetwood Town,Admiral Muskwe,4500,234000,23,"AM RL, ST",Zimbabwe
league-one,Fleetwood Town,Carlos Mendes Gomes,4400,228800,23,"AM RLC, F C",Spain
league-one,Fleetwood Town,Callum Morton,4400,228800,22,"AM L, ST",England
league-one,Fleetwood Town,Josh Vela,3100,161200,28,"DM, AM C",England
league-one,Fleetwood Town,Josh Earl,3100,161200,23,D LC,England
league-one,Fleetwood Town,Joe Garner,3100,161200,34,ST,England
league-one,Fleetwood Town,Lewis Warrington,3000,156000,19,DM,England
league-one,Fleetwood Town,Toto Nsiala,2600,135200,30,D C,DR Congo
league-one,Fleetwood Town,Brendan Wiredu,2500,130000,22,DM,England
league-one,Fleetwood Town,Daniel Batty,2400,124800,24,DM,England
league-one,Fleetwood Town,Michael Devlin,1900,98800,28,D C,Scotland
league-one,Fleetwood Town,Promise Omochere,1800,93600,21,"AM R, ST",Nigeria
league-one,Fleetwood Town,Ryan Broom,1700,88400,25,AM RC,Wales
league-one,Fleetwood Town,Paddy Lane,850,44200,21,AM RL,N.Ireland
league-one,Fleetwood Town,Ged Garner,840,43680,23,ST,England
league-one,Fleetwood Town,Jay Lynch,810,42120,29,GK,England
league-one,Fleetwood Town,Barry Baggley,790,41080,20,M C,N.Ireland
league-one,Fleetwood Town,Carl Johnston,680,35360,20,AM LC,N.Ireland
league-one,Fleetwood Town,Harvey Macadam,630,32760,21,M C,England
league-one,Fleetwood Town,Dylan Boyle,620,32240,20,M C,N.Ireland
league-one,Fleetwood Town,Shaun Rooney,600,31200,25,D/WB R,Scotland
league-one,Fleetwood Town,Drew Baker,480,24960,19,D C,England
league-one,Fleetwood Town,Ben Thompson,440,22880,19,M C,England
league-one,Fleetwood Town,Billy Batch,440,22880,20,D/WB L,England
league-one,Fleetwood Town,Harrison Holgate,430,22360,22,D RC,England
league-one,Fleetwood Town,Connor Teale,430,22360,19,D C,England
league-one,Fleetwood Town,Stephen McMullan,420,21840,17,GK,N.Ireland
league-one,Fleetwood Town,Akiel Raffie,400,20800,19,M C,South Africa
league-one,Fleetwood Town,Cian Hayes,380,19760,19,AM RL,Ireland
league-one,Fleetwood Town,Danny Edwards,370,19240,19,M C,England
league-one,Fleetwood Town,Max McMillan,330,17160,19,ST,South Africa
league-one,Fleetwood Town,Harry Wilson,330,17160,18,ST,N.Ireland
league-one,Fleetwood Town,Tom Donaghy,310,16120,19,GK,England
league-one,Fleetwood Town,Josh Edwards,310,16120,18,D/WB L,England
league-one,Fleetwood Town,Luc Rees,290,15080,19,GK,Wales
league-one,Fleetwood Town,Will Russ,280,14560,19,ST,Wales
league-one,Fleetwood Town,Kyle White,250,13000,17,M C,England
league-one,Fleetwood Town,Jake Wallace,250,13000,18,D R,N.Ireland
league-one,Fleetwood Town,Thomas Hoyle,250,13000,18,D C,England
league-one,Fleetwood Town,Ollie Leggett,250,13000,17,D L,England
league-one,Fleetwood Town,Sam Bird,220,11440,19,D R,England
league-one,Fleetwood Town,Sam Glenfield,200,10400,17,ST,N.Ireland
league-one,Fleetwood Town,George Morrison,180,9360,16,DM,Scotland
league-one,Fleetwood Town,Liam Jessop,180,9360,16,ST,Gibraltar
league-one,Fleetwood Town,Chiekh Thiam,180,9360,17,D R,Italy
league-one,Fleetwood Town,Rio Cragg,180,9360,17,GK,England
league-one,Fleetwood Town,Brad Arthur,180,9360,17,D/WB/AM L,England
league-one,Fleetwood Town,Josh Kearns,180,9360,17,"DM, AM C",England
league-one,Fleetwood Town,Kyle King,180,9360,17,"D L, DM, M LC",England
league-one,Fleetwood Town,Roman Khela,180,9360,17,D R,England
league-one,Fleetwood Town,Zane Marsh,180,9360,16,AM RL,England
league-one,Fleetwood Town,Billy Jones,180,9360,17,M C,England
league-one,Fleetwood Town,Harry Clarke,180,9360,17,ST,England
league-one,Fleetwood Town,Ryan Hand,180,9360,17,D LC,England
league-one,Fleetwood Town,Reuben Woodward,180,9360,16,GK,England
league-one,Fleetwood Town,Theo Butterworth,180,9360,16,D C,England
league-one,Fleetwood Town,Kayden Hughes,180,9360,17,D LC,England
league-one,Fleetwood Town,Ivan Imasuen,180,9360,16,WB L,England
league-one,Fleetwood Town,Will Johnson,180,9360,17,WB L,England
league-one,Fleetwood Town,Harvey Fletcher,180,9360,16,M C,England
league-one,Fleetwood Town,Bosembo Namputu,180,9360,16,M C,England
league-one,Fleetwood Town,Hermann Daha,180,9360,16,D C,Italy
league-one,Fleetwood Town,Dominic Richmond,180,9360,16,ST,England
league-one,Fleetwood Town,Pharrell Brown,140,7280,17,AM R,England
league-one,Fleetwood Town,Connor Eastham,0,0,18,GK,England
league-one,Leyton Orient,George Moncur,3200,166400,28,AM LC,England
league-one,Leyton Orient,Max Sanders,2900,150800,23,DM,England
league-one,Leyton Orient,Adam Thompson,2500,130000,29,D RC,N.Ireland
league-one,Leyton Orient,Aaron Drinan,2500,130000,24,"AM R, ST",Ireland
league-one,Leyton Orient,Anthony Georgiou,2500,130000,25,AM L,Cyprus
league-one,Leyton Orient,Darren Pratley,2400,124800,37,M C,England
league-one,Leyton Orient,Charlie Kelman,2400,124800,20,ST,England
league-one,Leyton Orient,Connor Wood,2400,124800,25,D/WB/M L,England
league-one,Leyton Orient,Ed Turns,2300,119600,19,D C,Wales
league-one,Leyton Orient,Idris El Mizouni,2100,109200,21,"DM, AM C",Tunisia
league-one,Leyton Orient,Rob Hunt,1700,88400,27,D/WB RL,England
league-one,Leyton Orient,Ruel Sotiriou,1700,88400,21,"AM L, ST",Cyprus
league-one,Leyton Orient,Tom James,1600,83200,26,"D/WB RL, DM",Wales
league-one,Leyton Orient,Dan Happe,1400,72800,23,D C,England
league-one,Leyton Orient,Jayden Wareham,1100,57200,19,ST,England
league-one,Leyton Orient,Jordan Brown,1100,57200,21,"D R, DM",England
league-one,Leyton Orient,Omar Beckles,800,41600,30,D C,England
league-one,Leyton Orient,Sam Sargeant,720,37440,24,GK,England
league-one,Leyton Orient,Matt Young,630,32760,19,M LC,England
league-one,Leyton Orient,Theo Archibald,600,31200,24,AM RL,Scotland
league-one,Leyton Orient,Stephen Duke-McKenna,600,31200,21,AM RLC,Guyana
league-one,Leyton Orient,Dan Nkrumah,570,29640,18,AM L,England
league-one,Leyton Orient,Jayden Sweeney,560,29120,20,D L,England
league-one,Leyton Orient,Harrison Sodje,430,22360,18,D L,England
league-one,Leyton Orient,Jephte Tanga,410,21320,18,AM RL,England
league-one,Leyton Orient,Zech Obiero,350,18200,17,M R,England
league-one,Leyton Orient,Rhys Byrne,330,17160,19,GK,England
league-one,Leyton Orient,Sonny Fish,270,14040,18,ST,Wales
league-one,Leyton Orient,Henry Sworder,180,9360,17,GK,England
league-one,Leyton Orient,Noah Phillips,180,9360,17,GK,England
league-one,Leyton Orient,Antonio Clements,180,9360,17,DM,England
league-one,Leyton Orient,Ayodele Ojo,180,9360,17,DM,England
league-one,Leyton Orient,Sahid Nallo,180,9360,17,M C,England
league-one,Leyton Orient,Ebraima Davies,180,9360,17,ST,England
league-one,Leyton Orient,Charlie Pegrum,180,9360,17,ST,England
league-one,Leyton Orient,Lenny Holder,180,9360,16,GK,England
league-one,Leyton Orient,David Agyemang,180,9360,16,D/WB/M L,England
league-one,Leyton Orient,Thomas Avgoustidis,180,9360,16,DM,England
league-one,Leyton Orient,Makai Welch,180,9360,16,D L,England
league-one,Leyton Orient,Ashley Koroma,180,9360,16,M L,England
league-one,Leyton Orient,Lorenzo Saponara,180,9360,16,D C,England
league-one,Leyton Orient,Reon Smith-Kouassi,180,9360,16,ST,England
league-one,Leyton Orient,Marley St Louis,180,9360,16,ST,England
league-one,Lincoln City,Tashan Oakley-Boothe,6600,343200,22,M C,England
league-one,Lincoln City,Tyler Walker,5600,291200,25,ST,England
league-one,Lincoln City,Adam Jackson,3500,182000,28,D C,England
league-one,Lincoln City,Carl Rushworth,3400,176800,21,GK,England
league-one,Lincoln City,Jacob Davenport,3100,161200,23,DM,England
league-one,Lincoln City,Jordon Garrick,3100,161200,23,"AM RL, ST",Jamaica
league-one,Lincoln City,Joe Walsh,3100,161200,30,D C,Wales
league-one,Lincoln City,Lewis Montsma,3000,156000,24,D C,Holland
league-one,Lincoln City,Matty Virtue,2900,150800,25,DM,England
league-one,Lincoln City,Max Sanders,2900,150800,23,DM,England
league-one,Lincoln City,Paudie O'Connor,2800,145600,24,D C,Ireland
league-one,Lincoln City,Regan Poole,2700,140400,24,D RC,Wales
league-one,Lincoln City,Ted Bishop,2600,135200,25,"DM, AM LC",England
league-one,Lincoln City,TJ Eyoma,2600,135200,22,D RC,England
league-one,Lincoln City,Danny Mandroiu,2400,124800,23,AM RC,Ireland
league-one,Lincoln City,Charles Vernam,2400,124800,25,AM RLC,England
league-one,Lincoln City,Ethan Hamilton,2300,119600,23,M C,Scotland
league-one,Lincoln City,Jack Diamond,2100,109200,22,AM RL,England
league-one,Lincoln City,Jamie Robson,2100,109200,24,D/WB/M L,Scotland
league-one,Lincoln City,Jaden Brown,2100,109200,23,D/WB/AM L,England
league-one,Lincoln City,Reeco Hackett,1700,88400,24,"WB L, AM RL, ST",England
league-one,Lincoln City,Tom Hopper,1600,83200,28,ST,England
league-one,Lincoln City,Ben House,1500,78000,23,AM/F C,Scotland
league-one,Lincoln City,Lasse Sørensen,1000,52000,22,DM,Denmark
league-one,Lincoln City,Jay Benn,910,47320,20,D/WB R,England
league-one,Lincoln City,Freddie Draper,800,41600,17,ST,England
league-one,Lincoln City,Jordan Wright,610,31720,23,GK,England
league-one,Lincoln City,Sean Roughan,570,29640,19,D LC,Ireland
league-one,Lincoln City,Jack Burroughs,560,29120,21,"D/WB RL, M C",Scotland
league-one,Lincoln City,Elicha Ahui,460,23920,18,"D/WB R, DM, M RC",England
league-one,Lincoln City,Oisin Gallagher,180,9360,17,DM,Ireland
league-one,Lincoln City,Sam Green,180,9360,17,GK,England
league-one,Lincoln City,Kyrell Wheatley,180,9360,17,AM R,England
league-one,Lincoln City,Tayo Alexander-Tucker,180,9360,17,"AM L, ST",England
league-one,Lincoln City,Osei Boffah,180,9360,17,D L,England
league-one,Lincoln City,Nathan Kabeya,180,9360,17,D R,England
league-one,Lincoln City,Theo Mussell,180,9360,17,"D R, M C",England
league-one,Lincoln City,Darryl Powell,180,9360,17,D C,England
league-one,Lincoln City,Harry Dale,180,9360,17,M C,England
league-one,Lincoln City,Julian Donnery,180,9360,17,"AM L, ST",England
league-one,Lincoln City,Bailey Adamson,180,9360,16,M R,England
league-one,Lincoln City,Russell Berko,180,9360,16,ST,England
league-one,Lincoln City,Kye Perkins,180,9360,16,AM LC,England
league-one,Lincoln City,Louis Nesbitt,180,9360,16,DM,England
league-one,Lincoln City,MJ Kamara,180,9360,16,WB L,England
league-one,Lincoln City,Jersey Lopez,180,9360,16,D C,England
league-one,Lincoln City,Isaac Allan,180,9360,16,GK,England
league-one,Northampton Town,Josh Eppiah,6100,317200,23,"AM RL, ST",Belgium
league-one,Northampton Town,Danny Hylton,3400,176800,33,ST,England
league-one,Northampton Town,Akin Odimayo,2500,130000,22,D RC,England
league-one,Northampton Town,Ben Fox,2500,130000,24,"D R, DM",England
league-one,Northampton Town,Jon Guthrie,2100,109200,29,D C,England
league-one,Northampton Town,Lee Burge,2000,104000,29,GK,England
league-one,Northampton Town,Manny Monthe,1900,98800,27,D C,Cameroon
league-one,Northampton Town,Ryan Haynes,1700,88400,26,D/WB/M L,England
league-one,Northampton Town,Sam Hoskins,1600,83200,29,"AM RLC, F C",England
league-one,Northampton Town,Sam Sherring,1600,83200,22,D C,England
league-one,Northampton Town,Ali Koiki,1500,78000,22,D/WB/M L,England
league-one,Northampton Town,Aaron McGowan,1500,78000,25,D/WB RL,England
league-one,Northampton Town,Jack Sowerby,1100,57200,27,DM,England
league-one,Northampton Town,Louis Appéré,1000,52000,23,"AM L, ST",Scotland
league-one,Northampton Town,Mitch Pinnock,900,46800,27,AM RLC,England
league-one,Northampton Town,Kieron Bowie,850,44200,19,"AM RC, F C",Scotland
league-one,Northampton Town,Patrick Brough,750,39000,26,D LC,England
league-one,Northampton Town,Harvey Lintott,730,37960,19,D RC,England
league-one,Northampton Town,Shaun McWilliams,600,31200,23,DM,England
league-one,Northampton Town,Tyler Magloire,600,31200,23,D RC,England
league-one,Northampton Town,Liam Cross,390,20280,19,AM C,England
league-one,Northampton Town,Max Dyche,380,19760,19,D LC,England
league-one,Northampton Town,Peter Abimbola,350,18200,18,DM,England
league-one,Northampton Town,Tommy Curry,200,10400,18,AM L,England
league-one,Northampton Town,James Dadge,180,9360,17,GK,England
league-one,Northampton Town,Dylan Hill,180,9360,18,DM,England
league-one,Northampton Town,Josh Tomlinson,180,9360,16,D C,England
league-one,Northampton Town,Jacob Scott,180,9360,16,DM,England
league-one,Northampton Town,Reuben Wyatt,180,9360,16,AM C,England
league-one,Northampton Town,Brad Smith-Howes,180,9360,17,D/WB R,England
league-one,Northampton Town,Kenny Ndefo,180,9360,17,ST,England
league-one,Northampton Town,Tom Cartwright,180,9360,16,D RC,England
league-one,Northampton Town,Jamari Hart,180,9360,16,"D/WB L, DM",England
league-one,Northampton Town,Reece Irwin,180,9360,17,"D C, ST",England
league-one,Northampton Town,Rico Duggan,180,9360,17,AM LC,England
league-one,Northampton Town,Kai O'Keeffe,180,9360,17,"AM RL, ST",England
league-one,Northampton Town,Fin Amidi,180,9360,16,"AM RL, ST",England
league-one,Northampton Town,Josh Brown,180,9360,17,"D C, DM",England
league-one,Northampton Town,Ayo Lekuti,180,9360,17,D/WB L,England
league-one,Northampton Town,Marcus Bald,180,9360,17,GK,England
league-one,Oxford United,Cameron Brannagan,12000,624000,26,"DM, AM C",England
league-one,Oxford United,Kyle Joseph,6000,312000,20,ST,Scotland
league-one,Oxford United,Mark Harris,5900,306800,23,"AM LC, F C",Wales
league-one,Oxford United,Djavan Anderson,5400,280800,27,D/WB/AM R,Suriname
league-one,Oxford United,Josh Murphy,5100,265200,27,"AM RL, ST",England
league-one,Oxford United,Lewis Bate,5000,260000,19,DM,England
league-one,Oxford United,Elliott Moore,4300,223600,25,D C,England
league-one,Oxford United,James Henry,4100,213200,33,AM RC,England
league-one,Oxford United,Jordan Thorniley,4100,213200,25,D C,England
league-one,Oxford United,Marcus Browne,3900,202800,24,AM RLC,England
league-one,Oxford United,Marcus McGuane,3900,202800,23,DM,England
league-one,Oxford United,Sam Baldock,3600,187200,33,ST,England
league-one,Oxford United,Alejandro Rodríguez Gorrín,3500,182000,28,DM,Spain
league-one,Oxford United,Billy Bodin,3500,182000,30,AM RLC,Wales
league-one,Oxford United,Ciaron Brown,3400,176800,24,D LC,N.Ireland
league-one,Oxford United,Yanic Wildschut,3300,171600,30,AM RL,Suriname
league-one,Oxford United,Josh McEachran,3100,161200,29,DM,England
league-one,Oxford United,Sam Long,1600,83200,27,D RC,England
league-one,Oxford United,Simon Eastwood,1600,83200,33,GK,England
league-one,Oxford United,Sonny Perkins,1600,83200,18,"AM LC, F C",England
league-one,Oxford United,Ed McGinty,1300,67600,22,GK,Ireland
league-one,Oxford United,John Mousinho,1100,57200,36,"D C, DM",England
league-one,Oxford United,Oisin Smyth,760,39520,22,DM,N.Ireland
league-one,Oxford United,Gatlin O'Donkor,490,25480,17,ST,England
league-one,Oxford United,Slavi Spasov,420,21840,20,AM/F C,Bulgaria
league-one,Oxford United,Tyler Goodrham,410,21320,18,AM RLC,England
league-one,Oxford United,James Golding,410,21320,17,D C,Ireland
league-one,Oxford United,Josh Johnson,360,18720,17,DM,England
league-one,Oxford United,Yoav Sade,260,13520,22,D R,Israel
league-one,Oxford United,Eddie Brearey,180,9360,18,GK,England
league-one,Oxford United,Josh Anifowose,180,9360,18,M C,England
league-one,Oxford United,Fraser Barnsley,180,9360,17,GK,England
league-one,Oxford United,Ibrahim Sankoh,180,9360,17,D R,England
league-one,Oxford United,George Franklin,180,9360,17,M C,England
league-one,Oxford United,Owen Giles,180,9360,17,D C,England
league-one,Oxford United,Erion Zabeli,180,9360,17,D C,Albania
league-one,Oxford United,Amari Davis-Stephenson,180,9360,17,AM RL,England
league-one,Oxford United,Enrique Tiamuna,180,9360,17,DM,England
league-one,Oxford United,Monty Marriott,180,9360,16,GK,England
league-one,Oxford United,Rashane Maxwell,180,9360,16,D L,England
league-one,Oxford United,Richard Gerrard,180,9360,16,D L,England
league-one,Oxford United,Max Smith,180,9360,16,D C,England
league-one,Oxford United,Zaide Took-Oxley,180,9360,16,M C,England
league-one,Oxford United,Jacob Fowler,180,9360,16,M C,England
league-one,Oxford United,Tobias Brenan,180,9360,16,M C,England
league-one,Oxford United,Aidan Elliott-Wheeler,180,9360,16,AM RL,England
league-one,Oxford United,Josh Iheanacho,180,9360,16,ST,England
league-one,Peterborough United,Jonson Clarke-Harris,6100,317200,27,ST,Jamaica
league-one,Peterborough United,Jeando Fuchs,5100,265200,24,DM,Cameroon
league-one,Peterborough United,Josh Knight,5100,265200,24,"D C, DM",England
league-one,Peterborough United,Jack Marriott,5100,265200,27,ST,England
league-one,Peterborough United,David Ajiboye,4400,228800,23,AM RL,England
league-one,Peterborough United,Ephron Mason-Clark,4300,223600,22,"AM RL, ST",England
league-one,Peterborough United,Ollie Norburn,3800,197600,29,DM,Grenada
league-one,Peterborough United,Hector Kyprianou,3200,166400,21,DM,Cyprus
league-one,Peterborough United,Lucas Bergström,3000,156000,19,GK,Finland
league-one,Peterborough United,Kwame Poku,3000,156000,20,AM RLC,England
league-one,Peterborough United,Ronnie Edwards,2700,140400,19,D C,England
league-one,Peterborough United,Harrison Burrows,2200,114400,20,WB/M L,England
league-one,Peterborough United,Joel Randall,2100,109200,22,AM RL,England
league-one,Peterborough United,Kelland Watts,2000,104000,22,D C,England
league-one,Peterborough United,Ricky-Jade Jones,1700,88400,19,"AM L, ST",England
league-one,Peterborough United,Archie Collins,1500,78000,22,M C,England
league-one,Peterborough United,Harvey Cartwright,1200,62400,20,GK,England
league-one,Peterborough United,Joe Tomlinson,1100,57200,22,D/WB RL,England
league-one,Peterborough United,Emmanuel Fernandez,660,34320,20,D C,England
league-one,Peterborough United,Ashton Fox,600,31200,19,D C,England
league-one,Peterborough United,Benjamin Mensah,590,30680,19,D/WB R,Italy
league-one,Peterborough United,Charlie O'Connell,580,30160,19,D RC,England
league-one,Peterborough United,Joe Taylor,510,26520,19,ST,Wales
league-one,Peterborough United,Johnson Gyamfi,510,26520,20,AM RL,Ghana
league-one,Peterborough United,Kai Corbett,500,26000,19,AM RL,England
league-one,Peterborough United,Kellan Hickinson,500,26000,18,AM C,England
league-one,Peterborough United,Dave Bodie,420,21840,19,D C,England
league-one,Peterborough United,Gergő János Bodnár,390,20280,17,D/WB R,Hungary
league-one,Peterborough United,Harry Thomas,380,19760,17,D C,England
league-one,Peterborough United,Hisham Chiha,380,19760,18,AM L,Tunisia
league-one,Peterborough United,Luke Harris,340,17680,19,M C,England
league-one,Peterborough United,Lewis Darlington,340,17680,17,ST,England
league-one,Peterborough United,Mackenzie Lamb,330,17160,18,DM,Scotland
league-one,Peterborough United,Oscar Tonge,310,16120,17,D/WB L,England
league-one,Peterborough United,Will Blackmore,280,14560,20,GK,England
league-one,Peterborough United,Roddy McGlinchey,280,14560,18,DM,England
league-one,Peterborough United,William Van Lier,230,11960,18,M C,England
league-one,Peterborough United,William Lakin,230,11960,18,GK,England
league-one,Peterborough United,Harry Titchmarsh,180,9360,17,M C,England
league-one,Peterborough United,Gabriel Overton,180,9360,17,ST,England
league-one,Peterborough United,Matthew Laycock,180,9360,17,GK,England
league-one,Peterborough United,Bayley McCann,180,9360,16,D L,N.Ireland
league-one,Peterborough United,Jacob Goodley,180,9360,17,D C,England
league-one,Peterborough United,Ben Challinor,180,9360,17,M C,England
league-one,Peterborough United,Oliver Rose,180,9360,17,D/WB R,England
league-one,Peterborough United,James Dornelly,180,9360,17,D C,England
league-one,Peterborough United,McKenzie Mason,180,9360,17,"D C, DM",England
league-one,Peterborough United,Reuben Marshall,180,9360,16,ST,England
league-one,Port Vale,Liam McCarron,5000,260000,21,AM RL,England
league-one,Port Vale,Thierry Small,4600,239200,17,D LC,England
league-one,Port Vale,Funso Ojo,4300,223600,30,DM,Belgium
league-one,Port Vale,Mipo Odubeko,3900,202800,19,ST,Ireland
league-one,Port Vale,Dennis Politic,3400,176800,22,"AM RLC, F C",Romania
league-one,Port Vale,Ellis Harrison,3300,171600,28,"AM L, ST",Wales
league-one,Port Vale,Gavin Massey,3200,166400,29,WB/AM R,England
league-one,Port Vale,Jack Stevens,3100,161200,24,GK,England
league-one,Port Vale,Jason Lowe,3100,161200,30,"D RC, M C",England
league-one,Port Vale,Conor Grant,2400,124800,27,"WB L, DM",England
league-one,Port Vale,Connor Ripley,2400,124800,29,GK,England
league-one,Port Vale,Harry Charsley,2200,114400,25,AM C,Ireland
league-one,Port Vale,James Wilson,2100,109200,26,ST,England
league-one,Port Vale,Nathan Smith,1900,98800,26,D C,England
league-one,Port Vale,Rory Holden,1700,88400,24,AM RLC,N.Ireland
league-one,Port Vale,Tom Conlon,1600,83200,26,AM C,England
league-one,Port Vale,Ben Garrity,1500,78000,25,"DM, AM C",England
league-one,Port Vale,Brad Walker,1500,78000,26,"D C, DM",England
league-one,Port Vale,Alex Iacovitti,1500,78000,24,D C,Scotland
league-one,Port Vale,Daniel Butterworth,1400,72800,22,AM/F C,England
league-one,Port Vale,Connor Hall,1400,72800,29,D C,England
league-one,Port Vale,Dan Jones,1400,72800,27,D LC,England
league-one,Port Vale,Derek Agyakwa,970,50440,20,D C,Holland
league-one,Port Vale,Ethan Chislett,860,44720,23,AM C,South Africa
league-one,Port Vale,Lewis Cass,790,41080,22,D RC,England
league-one,Port Vale,Tom Pett,600,31200,30,DM,England
league-one,Port Vale,Sammy Robinson,600,31200,20,D RC,England
league-one,Port Vale,James Plant,180,9360,17,"AM RL, ST",England
league-one,Port Vale,Festus Chale,180,9360,16,"D C, M C",England
league-one,Port Vale,Reuben Perry,180,9360,17,GK,England
league-one,Port Vale,Durell Manhertz,180,9360,17,D L,England
league-one,Port Vale,Logan Stinton,180,9360,17,ST,England
league-one,Port Vale,Arron Davies,180,9360,16,GK,England
league-one,Port Vale,Braden Webb,180,9360,16,D C,England
league-one,Port Vale,Callum Besford,180,9360,16,D L,England
league-one,Port Vale,Daniel Mahaffy,180,9360,16,M C,England
league-one,Port Vale,Rhys Walters,180,9360,16,M C,England
league-one,Port Vale,Andrew Buah,180,9360,16,ST,England
league-one,Port Vale,Eli Fisher,180,9360,16,ST,England
league-one,Port Vale,Caelan Ryan,180,9360,16,ST,England
league-one,Portsmouth,Dane Scarlett,12000,624000,18,ST,England
league-one,Portsmouth,Gavin Whyte,8200,426400,26,AM R,N.Ireland
league-one,Portsmouth,Joe Pigott,8100,421200,28,ST,England
league-one,Portsmouth,Colby Bishop,5400,280800,25,ST,England
league-one,Portsmouth,Marlon Pack,4900,254800,31,DM,England
league-one,Portsmouth,Owen Dale,4800,249600,23,AM RL,England
league-one,Portsmouth,Anthony Scully,4500,234000,23,"AM RL, ST",Ireland
league-one,Portsmouth,Joe Rafferty,4100,213200,28,D/WB RL,Ireland
league-one,Portsmouth,Josh Koroma,4100,213200,23,"AM RL, ST",England
league-one,Portsmouth,Joe Morrell,4100,213200,25,DM,Wales
league-one,Portsmouth,Michael Morrison,3900,202800,34,D C,England
league-one,Portsmouth,Ronan Curtis,3700,192400,26,"AM LC, F C",Ireland
league-one,Portsmouth,Sean Raggett,3600,187200,28,D C,England
league-one,Portsmouth,Connor Ogilvie,3400,176800,26,D LC,England
league-one,Portsmouth,Denver Hume,3400,176800,23,D/WB L,England
league-one,Portsmouth,Will Norris,3400,176800,28,GK,England
league-one,Portsmouth,Zak Swanson,3000,156000,21,D RL,England
league-one,Portsmouth,Michael Jacobs,2900,150800,30,AM RLC,England
league-one,Portsmouth,Ryan Tunnicliffe,2700,140400,29,"DM, AM C",England
league-one,Portsmouth,Regan Poole,2700,140400,24,D RC,Wales
league-one,Portsmouth,Tom Lowery,2600,135200,24,DM,Wales
league-one,Portsmouth,Clark Robertson,2400,124800,28,D LC,Scotland
league-one,Portsmouth,Conor Shaughnessy,2400,124800,26,"D C, DM",Ireland
league-one,Portsmouth,Josh Griffiths,2100,109200,20,GK,England
league-one,Portsmouth,Joshua Oluwayemi,810,42120,21,GK,England
league-one,Portsmouth,Jayden Reid,810,42120,21,"AM RC, F C",England
league-one,Portsmouth,Jay Mingi,610,31720,21,DM,England
league-one,Portsmouth,Liam Vincent,590,30680,19,D/WB L,England
